,customer_number,credit_score,num_credit_accounts,oldest_credit_line_age,oldest_account_age_months,total_credit_limit,num_delinquencies_2yrs,num_inquiries_6mo,recent_inquiry_count,num_public_records,num_collections,account_diversity_index
0,100000,770,8,1.5,18.0,140600.0,0.0,1,1,0,0,0.25
1,100001,733,7,14.6,175.2,90400.0,0.0,1,1,0,0,0.284
2,100002,660,0,4.0,48.0,32400.0,0.0,5,5,0,1,0.05
3,100003,605,14,9.0,108.0,39100.0,,0,0,0,0,0.347
4,100004,721,5,8.7,104.4,47900.0,0.0,2,2,1,0,0.239
5,100005,725,2,11.3,135.6,96600.0,0.0,2,2,0,0,0.154
6,100006,708,12,5.2,62.4,70800.0,0.0,1,1,0,0,0.26
7,100007,708,8,12.0,144.0,33200.0,0.0,2,2,0,0,0.37
8,100008,787,4,8.3,99.6,304500.0,0.0,1,1,0,0,0.25
9,100009,723,1,8.7,104.4,43800.0,0.0,1,1,0,0,0.239
10,100010,758,14,8.6,103.2,43100.0,0.0,0,0,0,0,0.31
11,100011,721,5,7.8,93.6,121100.0,0.0,3,3,0,0,0.163
12,100012,746,10,13.0,156.0,33100.0,0.0,1,1,0,0,0.403
13,100013,776,11,9.7,116.4,42400.0,0.0,0,0,0,0,0.26
14,100014,726,11,7.1,85.2,142500.0,0.0,2,2,0,0,0.381
15,100015,758,11,1.1,13.2,55600.0,0.0,0,0,0,0,0.267
16,100016,693,9,13.5,162.0,61900.0,0.0,1,1,0,0,0.309
17,100017,765,21,6.1,73.2,37600.0,0.0,2,2,0,0,0.334
18,100018,622,2,1.5,18.0,35300.0,0.0,1,1,0,0,0.224
19,100019,755,20,10.7,128.4,71800.0,0.0,1,1,0,0,0.442
20,100020,723,19,21.2,254.4,22300.0,0.0,2,2,0,0,0.611
21,100021,631,0,1.0,12.0,35800.0,0.0,2,2,0,0,0.188
22,100022,718,7,22.8,273.6,66400.0,0.0,0,0,0,0,0.452
23,100023,716,11,12.1,145.2,75900.0,0.0,2,2,0,0,0.449
24,100024,700,14,13.7,164.4,35200.0,0.0,1,1,0,0,0.475
25,100025,744,6,11.7,140.4,189700.0,0.0,2,2,0,0,0.235
26,100026,764,11,4.0,48.0,222100.0,0.0,2,2,0,0,0.184
27,100027,688,0,6.0,72.0,29800.0,0.0,2,2,0,0,0.137
28,100028,796,11,7.8,93.6,265600.0,0.0,0,0,0,0,0.346
29,100029,709,6,8.9,106.8,26700.0,0.0,3,3,0,1,0.307
30,100030,765,16,12.1,145.2,74400.0,0.0,1,1,0,0,0.369
31,100031,760,14,8.9,106.8,25700.0,0.0,0,0,0,0,0.339
32,100032,690,9,14.8,177.6,45800.0,0.0,3,3,0,1,0.413
33,100033,682,5,10.7,128.4,66200.0,0.0,1,1,0,0,0.303
34,100034,771,13,8.2,98.4,211700.0,0.0,5,5,0,0,0.284
35,100035,756,5,3.8,45.6,38800.0,0.0,1,1,0,0,0.165
36,100036,719,5,7.5,90.0,92700.0,0.0,1,1,0,0,0.33
37,100037,772,10,13.5,162.0,94800.0,0.0,2,2,0,0,0.355
38,100038,736,10,8.9,106.8,85400.0,0.0,4,4,0,0,0.247
39,100039,766,14,13.7,164.4,110300.0,0.0,1,1,0,0,0.329
40,100040,681,10,11.6,139.2,77200.0,0.0,4,4,0,0,0.368
41,100041,772,5,9.6,115.2,138200.0,0.0,0,0,0,0,0.33
42,100042,670,1,10.0,120.0,54100.0,0.0,2,2,1,0,0.133
43,100043,666,15,11.6,139.2,86600.0,0.0,0,0,1,0,0.449
44,100044,696,10,11.0,132.0,208200.0,0.0,5,5,0,0,0.348
45,100045,738,7,17.0,204.0,108500.0,0.0,2,2,0,0,0.422
46,100046,707,2,3.8,45.6,97100.0,0.0,1,1,0,1,0.229
47,100047,707,12,2.0,24.0,34400.0,0.0,1,1,0,0,0.27
48,100048,745,9,10.8,129.6,40300.0,0.0,1,1,0,0,0.241
49,100049,761,11,8.0,96.0,110400.0,0.0,2,2,0,0,0.259
50,100050,699,2,13.0,156.0,156700.0,0.0,0,0,0,0,0.278
51,100051,731,10,19.9,238.8,181800.0,0.0,4,4,0,0,0.345
52,100052,612,6,1.0,12.0,24600.0,1.0,3,3,0,0,0.132
53,100053,718,9,5.4,64.8,61600.0,0.0,1,1,0,0,0.207
54,100054,680,5,9.4,112.8,121300.0,0.0,2,2,0,0,0.274
55,100055,721,11,11.9,142.8,12700.0,0.0,1,1,0,0,0.422
56,100056,744,8,10.7,128.4,52300.0,0.0,2,2,0,0,0.277
57,100057,665,12,10.3,123.6,28100.0,0.0,3,3,0,0,0.409
58,100058,749,8,13.6,163.2,72300.0,0.0,1,1,0,0,0.276
59,100059,718,15,4.8,57.6,123900.0,0.0,1,1,0,0,0.245
60,100060,668,6,2.0,24.0,30700.0,0.0,2,2,0,0,0.286
61,100061,708,13,4.2,50.4,114400.0,0.0,0,0,0,0,0.372
62,100062,717,16,8.3,99.6,500000.0,0.0,2,2,0,0,0.39
63,100063,688,9,1.0,12.0,34400.0,0.0,0,0,0,0,0.202
64,100064,750,13,8.9,106.8,145000.0,0.0,1,1,0,0,0.42
65,100065,684,14,8.6,103.2,34400.0,0.0,4,4,0,0,0.287
66,100066,736,4,6.5,78.0,67100.0,0.0,3,3,0,0,0.229
67,100067,775,6,7.3,87.6,187300.0,0.0,2,2,0,0,0.255
68,100068,795,8,11.0,132.0,36400.0,0.0,1,1,0,0,0.372
69,100069,714,11,16.9,202.8,111900.0,0.0,2,2,0,0,0.48
70,100070,764,5,8.7,104.4,267100.0,0.0,1,1,1,0,0.24
71,100071,642,13,6.0,72.0,51300.0,0.0,2,2,0,0,0.347
72,100072,715,16,8.1,97.2,41600.0,0.0,2,2,0,0,0.362
73,100073,725,14,8.3,99.6,133100.0,0.0,0,0,0,0,0.305
74,100074,675,16,14.1,169.2,63300.0,0.0,1,1,0,0,0.384
