cust_id,age,annual_income,employment_length,employment_type,education,marital_status,num_dependents
100000,57,52300,11.7,Self Employed,Some College,Divorced,0
100001,41,45700,5.5,Self Employed,High School,Married,1
100002,22,20000,4.4,Part Time,Graduate,Single,1
100003,27,44300,8.0,Full Time,High School,Single,1
100004,32,41100,0.9,Full Time,Bachelor,Single,3
100005,32,49000,1.1,Contractor,Graduate,Married,1
100006,35,68900,5.3,Self Employed,Graduate,Single,2
100007,30,48200,7.5,Part Time,Bachelor,Married,0
100008,52,102800,9.1,Full Time,Graduate,Divorced,0
100009,36,41000,1.0,Full Time,Some College,Single,2
100010,49,38900,1.8,Full Time,Advanced,Married,0
100011,45,39800,5.4,Full Time,High School,Married,0
100012,31,36400,7.3,Full Time,Graduate,Married,0
100013,60,27700,7.4,Full Time,Bachelor,Married,3
100014,40,57600,3.4,Full Time,Some College,Married,2
100015,36,48900,5.4,Full Time,Some College,Single,1
100016,45,33300,12.6,Full Time,Some College,Married,2
100017,52,40500,1.5,Part Time,Bachelor,Married,2
100018,30,41200,0.9,Part Time,Some College,Single,0
100019,56,32200,2.6,Full Time,Advanced,Married,0
100020,62,22600,6.1,Full Time,High School,Divorced,1
100021,19,20000,1.7,Full Time,Some College,Single,2
100022,43,38500,3.8,Full Time,Bachelor,Married,1
100023,47,59300,3.7,Full Time,Bachelor,Married,1
100024,52,21400,5.0,Full Time,Bachelor,Married,0
100025,44,58500,9.4,Full Time,Bachelor,Married,1
100026,34,78100,11.5,Full Time,Advanced,Single,0
100027,24,30700,1.3,Full Time,Advanced,Married,1
100028,48,78300,1.3,Full Time,Bachelor,Married,3
100029,30,36800,6.7,Full Time,Bachelor,Single,0
100030,55,26100,7.0,Full Time,Bachelor,Married,1
100031,49,32900,10.7,Self Employed,Some College,Married,0
100032,52,45300,8.3,Self Employed,Bachelor,Married,1
100033,44,43700,4.9,Full Time,High School,Single,1
100034,37,118900,1.5,Contractor,Some College,Married,2
100035,33,31600,5.9,Part Time,Some College,Single,1
100036,30,72500,6.5,Self Employed,Graduate,Married,1
100037,39,37300,1.5,Part Time,Graduate,Married,1
100038,47,48500,3.7,Full Time,Graduate,Married,2
100039,36,38500,3.4,Full Time,Some College,Single,1
100040,45,33800,3.6,Part Time,Some College,Married,1
100041,39,73300,10.1,Part Time,Bachelor,Single,0
100042,28,22300,4.5,Full Time,Some College,Married,3
100043,36,34500,7.1,Full Time,High School,Married,0
100044,29,69400,4.8,Full Time,Graduate,Married,1
100045,36,37100,1.8,Self Employed,Advanced,Single,1
100046,36,41400,5.1,Full Time,Graduate,Married,1
100047,20,20000,2.5,Full Time,Some College,Married,3
100048,54,47600,1.8,Self Employed,Bachelor,Divorced,1
100049,49,46900,4.5,Full Time,Graduate,Single,1
100050,31,54300,9.3,Full Time,Some College,Married,2
100051,40,66800,6.7,Self Employed,Graduate,Married,1
100052,19,20000,1.1,Part Time,High School,Single,2
100053,44,25800,8.4,Full Time,High School,Married,4
100054,28,65000,6.7,Full Time,Bachelor,Married,1
100055,44,20000,2.6,Part Time,High School,Married,1
100056,40,61700,6.1,Full Time,Bachelor,Married,3
100057,44,47700,4.1,Full Time,Bachelor,Single,2
100058,40,78400,4.9,Self Employed,Advanced,Single,0
100059,34,61200,4.8,Full Time,Bachelor,Married,2
100060,20,20000,2.8,Full Time,Some College,Single,1
100061,58,50000,0.9,Part Time,Bachelor,Married,2
100062,46,194100,4.6,Full Time,Graduate,Married,3
100063,19,33000,1.1,Full Time,Some College,Single,0
100064,38,70100,8.9,Full Time,Advanced,Married,3
100065,54,49900,6.3,Full Time,Graduate,Married,2
100066,46,82200,0.8,Contractor,Some College,Married,2
100067,37,78000,6.1,Full Time,Advanced,Married,0
100068,47,32400,8.6,Full Time,Graduate,Single,1
100069,39,47900,10.1,Full Time,Bachelor,Single,1
100070,33,108600,7.3,Full Time,Graduate,Married,4
100071,24,22200,2.9,Full Time,Some College,Single,1
100072,34,65400,0.7,Full Time,High School,Married,0
100073,45,62300,7.0,Full Time,Bachelor,Divorced,0
100074,53,26600,10.3,Full Time,Some College,Married,1
100075,39,29000,3.7,Full Time,Advanced,Married,1
100076,32,73900,11.0,Full Time,Graduate,Married,0
100077,41,42600,9.0,Full Time,Some College,Married,2
100078,55,33800,9.7,Contractor,Graduate,Single,0
100079,45,80100,9.3,Self Employed,Some College,Divorced,1
100080,46,20400,6.5,Full Time,Some College,Married,1
100081,24,24100,,Self Employed,High School,Married,0
100082,55,92900,1.0,Full Time,Bachelor,Married,2
100083,29,20000,7.6,Full Time,High School,Married,0
100084,48,32700,9.4,Full Time,Bachelor,Married,3
100085,49,20000,4.2,Full Time,Graduate,Married,1
100086,23,46500,5.2,Full Time,Graduate,Single,1
100087,38,35500,2.8,Full Time,High School,Single,1
100088,62,29500,4.9,Full Time,Graduate,Single,0
100089,33,37800,6.4,Full Time,Bachelor,Married,2
100090,34,20000,6.4,Full Time,Bachelor,Married,0
100091,45,115500,11.0,Full Time,Bachelor,Married,2
100092,57,53000,7.6,Self Employed,Graduate,Divorced,1
100093,42,39500,1.8,Full Time,Bachelor,Single,1
100094,46,44100,10.8,Full Time,High School,Married,0
100095,51,29900,2.0,Full Time,Some College,Divorced,0
100096,30,55800,4.7,Full Time,Advanced,Single,0
100097,41,85000,2.7,Part Time,Bachelor,Married,2
100098,39,26200,10.3,Part Time,Bachelor,Single,0
100099,33,32600,1.9,Full Time,High School,Married,2
100100,22,32000,4.4,Full Time,Some College,Single,0
100101,38,52300,5.7,Full Time,Some College,Married,1
100102,30,36200,10.1,Part Time,Some College,Single,0
100103,25,40100,,Full Time,High School,Married,0
100104,39,87800,6.4,Full Time,Bachelor,Married,1
100105,47,83400,3.3,Full Time,High School,Divorced,0
100106,45,97000,3.0,Full Time,Graduate,Divorced,1
100107,51,36900,16.1,Contractor,Bachelor,Married,4
100108,58,59300,11.6,Full Time,Advanced,Single,2
100109,39,68300,5.3,Self Employed,Graduate,Single,1
100110,55,42200,6.8,Full Time,Bachelor,Married,2
100111,33,63100,2.4,Full Time,Bachelor,Single,2
100112,32,60500,2.7,Full Time,Advanced,Married,5
100113,49,23400,11.0,Full Time,Bachelor,Married,1
100114,41,37300,4.2,Full Time,Some College,Single,0
100115,27,91900,0.7,Full Time,Graduate,Single,1
100116,33,55800,7.1,Self Employed,Some College,Single,0
100117,46,35900,5.0,Contractor,High School,Single,0
100118,27,29200,9.6,Self Employed,Some College,Married,0
100119,28,30300,3.0,Full Time,Some College,Single,0
100120,56,76200,7.2,Full Time,Graduate,Married,2
100121,34,109200,6.0,Full Time,Advanced,Married,2
100122,52,89900,3.4,Self Employed,Advanced,Single,1
100123,53,38900,6.9,Full Time,Some College,Married,2
100124,56,59100,4.2,Full Time,Bachelor,Single,1
100125,40,58100,6.7,Full Time,Graduate,Married,0
100126,35,23300,1.0,Full Time,Some College,Single,0
100127,42,110000,5.2,Full Time,Advanced,Married,2
100128,42,55000,6.1,Full Time,Some College,Married,3
100129,58,45200,4.2,Full Time,Some College,Single,1
100130,41,117100,3.5,Full Time,Graduate,Single,0
100131,29,31100,6.9,Full Time,Bachelor,Married,1
100132,38,47900,1.1,Full Time,Some College,Married,1
100133,46,49000,4.7,Contractor,Bachelor,Married,2
100134,47,20000,6.8,Full Time,Some College,Married,1
100135,62,43400,14.2,Self Employed,Bachelor,Married,2
100136,34,100200,11.1,Full Time,High School,Single,0
100137,41,56000,11.2,Full Time,Some College,Married,3
100138,55,43100,5.2,Full Time,Some College,Single,0
100139,35,29100,0.3,Full Time,Bachelor,Married,0
100140,26,57600,6.2,Full Time,Graduate,Single,1
100141,25,21400,7.5,Full Time,Bachelor,Married,4
100142,31,29800,5.0,Full Time,Bachelor,Married,0
100143,42,35200,0.7,Full Time,Some College,Single,1
100144,38,39200,3.1,Full Time,Graduate,Single,2
100145,25,23100,7.0,Full Time,High School,Single,0
100146,36,34600,3.8,Full Time,High School,Married,2
100147,50,42600,5.3,Part Time,High School,Married,1
100148,36,62100,5.9,Full Time,Some College,Married,1
100149,22,34200,1.6,Full Time,Some College,Single,4
100150,51,38900,3.6,Self Employed,High School,Married,3
100151,35,104200,8.5,Full Time,Graduate,Married,0
100152,29,30500,6.2,Full Time,Advanced,Divorced,2
100153,56,96100,3.6,Full Time,Bachelor,Married,0
100154,24,32100,4.4,Full Time,Some College,Single,0
100155,48,28800,1.8,Self Employed,Advanced,Single,0
100156,41,67600,8.3,Full Time,Bachelor,Married,2
100157,25,40000,0.5,Full Time,Some College,Married,1
100158,40,61200,3.6,Full Time,Bachelor,Divorced,0
100159,39,57600,7.2,Full Time,Advanced,Married,1
100160,44,38200,11.8,Full Time,High School,Married,2
100161,32,70900,11.3,Full Time,Graduate,Single,2
100162,52,40400,4.7,Full Time,Graduate,Single,1
100163,52,24200,6.4,Full Time,Graduate,Single,1
100164,42,61100,5.6,Contractor,Bachelor,Married,1
100165,29,32900,1.7,Full Time,Some College,Single,0
100166,22,20000,1.4,Full Time,Bachelor,Single,1
100167,21,20000,3.4,Full Time,Some College,Single,0
