cust_num,monthly_income,existing_monthly_debt,monthly_payment,debt_to_income_ratio,debt_service_ratio,payment_to_income_ratio,credit_utilization,revolving_balance,credit_usage_amount,available_credit,total_monthly_debt_payment,annual_debt_payment,loan_to_annual_income,total_debt_amount,monthly_free_cash_flow
100000,4358.0,1024.36,522.79,0.355,0.354986615678776,0.12,0.354,49772.4,49772.4,90827.6,1547.1499999999999,18565.8,0.216061185468451,61072.4,2811.18
100001,3808.33,1206.09,204.0,0.37,0.370264332603938,0.054,0.282,25492.8,25492.8,64907.2,1410.09,16921.079999999998,0.148796498905908,32292.8,2398.24
100002,1666.67,259.53,102.0,0.217,0.216917999999999,0.061,0.377,12214.8,12214.8,20185.2,361.53,4338.36,0.17,15614.8,1305.14
100003,3691.67,1117.2,360.0,0.4,0.400144469525959,0.098,0.365,14271.5,14271.5,24828.5,1477.2,17726.4,0.270880361173814,26271.5,2214.47
100004,3425.0,712.04,1860.3,0.751,0.751048175182481,0.543,0.49,23471.0,23471.0,24429.0,2572.34,30868.08,6.810218978102189,303371.0,852.66
100005,4083.0,542.74,96.0,0.156,0.156426122448979,0.024,0.253,24439.8,24439.8,72160.2,638.74,7664.88,0.065306122448979,27639.8,3444.59
100006,5742.0,681.29,2250.0,0.511,0.51052946298984,0.392,0.268,18974.4,18974.4,51825.6,2931.29,35175.48,5.5776487663280125,403274.4,2810.38
100007,4016.67,1459.12,692.41,0.536,0.5356506224066391,0.172,0.439,14574.8,14574.8,18625.2,2151.5299999999997,25818.36,2.105809128630705,116074.8,1865.14
100008,8566.67,3239.85,90.0,0.389,0.388698443579766,0.011,0.153,46588.5,46588.5,257911.5,3329.85,39958.2,0.029182879377431,49588.5,5236.82
100009,3416.67,792.19,339.57,0.331,0.331246829268292,0.099,0.5740000000000001,25141.2,25141.2,18658.8,1131.76,13581.12,1.5219512195121951,87541.2,2284.91
100010,3241.67,892.32,300.0,0.368,0.367810796915167,0.093,0.27,11637.0,11637.0,31463.0,1192.32,14307.840000000002,0.257069408740359,21637.0,2049.35
100011,3316.67,453.67,396.0,0.256,0.256181909547738,0.119,0.362,43838.2,43838.2,77261.8,849.67,10196.04,0.331658291457286,57038.2,2466.9966666666664
100012,3033.33,641.84,1355.01,0.658,0.658302197802197,0.447,0.26,8606.0,8606.0,24494.0,1996.85,23962.2,7.329670329670329,275406.0,1036.4833333333336
100013,2308.33,437.25,898.03,0.578,0.5784606498194941,0.389,0.064,2713.6,2713.6,39686.4,1335.28,16023.36,4.223826714801444,119713.6,973.0533333333335
100014,4800.0,1889.53,174.0,0.43,0.429902083333333,0.036,0.63,89775.0,89775.0,52725.0,2063.53,24762.36,0.100694444444444,95575.0,2736.47
100015,4075.0,774.55,1666.36,0.599,0.598996319018404,0.409,0.417,23185.2,23185.2,32414.8,2440.91,29290.92,0.386503067484662,42085.2,1634.0900000000001
100016,2775.0,1011.23,318.0,0.479,0.479001801801801,0.115,0.367,22717.3,22717.3,39182.7,1329.23,15950.76,0.318318318318318,33317.3,1445.77
100017,3375.0,395.97,546.96,0.279,0.279386666666666,0.162,0.078,2932.8,2932.8,34667.2,942.93,11315.16,0.422222222222222,20032.8,2432.07
100018,3433.33,489.93,3333.37,1.114,1.113582524271844,0.971,0.385,13590.5,13590.5,21709.5,3823.3,45879.6,10.769417475728156,457290.5,-389.96666666666624
100019,2683.0,872.3,2510.84,1.261,1.26079751552795,0.936,0.548,39346.4,39346.4,32453.6,3383.14,40597.68000000001,13.493788819875776,473846.4,-699.8066666666668
100020,1883.33,656.83,1294.29,1.036,1.035992920353982,0.687,0.33,7359.0,7359.0,14941.0,1951.12,23413.44,1.203539823008849,34559.0,-67.78666666666663
100021,1667.0,229.43,775.35,0.603,0.602868,0.465,0.49,17542.0,17542.0,18258.0,1004.78,12057.36,1.125,40042.0,661.8866666666668
100022,3208.33,903.6,210.0,0.347,0.347096103896103,0.065,0.436,28950.4,28950.4,37449.6,1113.6,13363.2,0.181818181818181,35950.4,2094.73
