id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
100000,TN,4.1,53000,1400.0,99.0,73.0,390
100001,CA,5.6,75000,1580.0,161.0,130.0,292
100002,NY,4.9,72000,1740.0,138.0,118.0,552
100003,MA,4.0,81000,1770.0,140.0,116.0,716
100004,IL,4.8,65000,1520.0,96.0,86.0,559
100005,CA,5.7,75000,1630.0,153.0,128.0,396
100006,TX,4.5,61000,1440.0,108.0,93.0,361
100007,FL,4.5,55000,1270.0,116.0,89.0,812
100008,NY,5.1,72000,1990.0,140.0,109.0,957
100009,NY,4.7,72000,1800.0,138.0,109.0,987
100010,NJ,5.2,82000,2270.0,133.0,115.0,579
100011,NY,5.6,72000,1460.0,152.0,119.0,100
100012,TX,4.4,61000,1300.0,109.0,88.0,399
100013,NC,4.5,54000,1310.0,101.0,83.0,208
100014,TN,3.4,53000,1200.0,101.0,87.0,150
100015,FL,4.2,55000,1450.0,110.0,89.0,865
100016,OH,4.6,56000,1280.0,88.0,85.0,827
100017,TX,4.3,61000,1340.0,106.0,82.0,899
100018,FL,5.0,55000,1260.0,122.0,91.0,305
100019,TN,4.2,53000,1330.0,105.0,87.0,233
100020,NY,4.4,72000,1620.0,139.0,114.0,200
100021,IL,4.9,65000,1510.0,104.0,93.0,478
100022,CA,5.2,75000,1620.0,159.0,135.0,418
100023,MI,6.2,57000,1410.0,102.0,91.0,802
100024,NJ,5.5,82000,2000.0,126.0,110.0,887
100025,MA,4.2,81000,1880.0,150.0,132.0,806
100026,TN,4.6,53000,1210.0,104.0,81.0,887
100027,MI,5.5,57000,1440.0,97.0,79.0,190
100028,VA,3.9,74000,1710.0,127.0,105.0,543
100029,CA,5.7,75000,1650.0,154.0,120.0,127
100030,CA,6.0,75000,1690.0,156.0,124.0,698
100031,NY,5.0,72000,1720.0,144.0,120.0,580
100032,GA,4.0,58000,1570.0,103.0,79.0,128
100033,TX,4.1,61000,1510.0,103.0,90.0,880
100034,CA,5.6,75000,2040.0,170.0,139.0,158
100035,WI,4.0,60000,1590.0,108.0,88.0,125
100036,TX,3.9,61000,1680.0,98.0,102.0,676
100037,AZ,4.5,58000,1260.0,119.0,97.0,271
100038,NC,4.1,54000,1220.0,110.0,90.0,917
100039,FL,5.3,55000,1320.0,112.0,93.0,555
100040,MI,5.2,57000,1420.0,92.0,83.0,608
100041,CA,6.0,75000,1690.0,152.0,132.0,235
100042,TX,3.8,61000,1450.0,105.0,96.0,560
100043,CA,5.4,75000,1670.0,158.0,117.0,800
100044,OH,4.7,56000,1290.0,86.0,74.0,386
100045,MO,3.9,55000,1290.0,93.0,80.0,603
100046,IN,4.4,55000,1440.0,98.0,80.0,964
100047,TX,3.8,61000,1430.0,102.0,89.0,494
100048,FL,5.5,55000,1460.0,117.0,99.0,948
100049,IL,4.8,65000,1320.0,97.0,79.0,301
100050,MI,5.4,57000,1340.0,98.0,85.0,399
100051,PA,4.7,61000,1580.0,95.0,83.0,769
100052,CA,5.4,75000,2010.0,159.0,129.0,836
100053,CA,5.6,75000,1800.0,164.0,128.0,854
100054,MO,3.9,55000,1370.0,106.0,86.0,580
100055,CA,5.6,75000,1690.0,159.0,126.0,604
100056,TX,3.8,61000,1550.0,101.0,89.0,526
100057,MO,3.9,55000,1450.0,98.0,79.0,961
100058,NC,4.0,54000,1270.0,112.0,88.0,618
100059,NY,5.0,72000,1650.0,140.0,107.0,267
100060,NJ,5.5,82000,2080.0,137.0,125.0,832
100061,NY,5.4,72000,1910.0,146.0,116.0,918
100062,PA,4.7,61000,1330.0,104.0,91.0,891
100063,CA,5.5,75000,1670.0,165.0,125.0,998
100064,NY,5.5,72000,1750.0,142.0,120.0,689
100065,TX,4.2,61000,1410.0,103.0,85.0,543
100066,NY,5.3,72000,2050.0,141.0,110.0,492
100067,NY,4.7,72000,1700.0,141.0,110.0,767
100068,WA,5.4,78000,2040.0,152.0,125.0,176
100069,CA,5.8,75000,1970.0,160.0,125.0,633
100070,VA,3.7,74000,1670.0,127.0,110.0,591
100071,CA,5.8,75000,1970.0,154.0,124.0,856
100072,GA,4.0,58000,1400.0,105.0,88.0,513
100073,NC,4.1,54000,1310.0,113.0,96.0,167
100074,TX,4.0,61000,1430.0,102.0,79.0,410
100075,NJ,4.5,82000,1900.0,146.0,117.0,771
100076,MA,4.4,81000,1820.0,140.0,122.0,162
100077,GA,3.6,58000,1530.0,109.0,84.0,445
100078,OH,4.3,56000,1370.0,99.0,85.0,466
100079,NY,5.2,72000,1450.0,132.0,107.0,790
100080,AZ,4.4,58000,1220.0,113.0,95.0,333
100081,TX,4.1,61000,1680.0,115.0,100.0,906
100082,MO,3.8,55000,1250.0,94.0,75.0,542
100083,CA,5.5,75000,1920.0,157.0,131.0,154
100084,NC,4.0,54000,1570.0,106.0,88.0,632
100085,NY,5.1,72000,1500.0,149.0,115.0,391
100086,GA,3.6,58000,1320.0,102.0,87.0,781
100087,MO,4.0,55000,1460.0,95.0,78.0,498
100088,TX,4.0,61000,1500.0,104.0,86.0,654
100089,TX,4.2,61000,1480.0,111.0,87.0,987
100090,TX,4.5,61000,1270.0,108.0,85.0,980
100091,MO,3.8,55000,1400.0,93.0,79.0,490
100092,NJ,5.4,82000,1780.0,135.0,114.0,894
100093,TX,3.4,61000,1500.0,106.0,82.0,632
100094,PA,4.7,61000,1450.0,93.0,78.0,394
100095,FL,5.0,55000,1320.0,112.0,82.0,929
100096,FL,4.5,55000,1150.0,114.0,87.0,895
100097,VA,3.4,74000,1700.0,133.0,111.0,370
100098,OH,4.5,56000,1420.0,97.0,88.0,201
100099,IL,5.2,65000,1440.0,103.0,87.0,254
100100,IN,4.1,55000,1450.0,105.0,87.0,381
100101,FL,4.7,55000,1370.0,115.0,95.0,822
100102,MI,6.1,57000,1340.0,101.0,90.0,781
100103,IL,5.1,65000,1590.0,100.0,86.0,141
100104,NY,5.0,72000,1520.0,142.0,104.0,333
100105,IL,4.8,65000,1600.0,90.0,74.0,957
100106,WA,4.8,78000,1680.0,154.0,124.0,304
100107,IN,4.0,55000,1350.0,94.0,70.0,123
100108,TX,4.3,61000,1600.0,99.0,90.0,486
100109,TX,3.8,61000,1580.0,113.0,90.0,792
100110,CA,5.6,75000,2060.0,172.0,134.0,135
100111,TX,3.7,61000,1430.0,100.0,79.0,533
100112,NC,4.5,54000,1410.0,108.0,85.0,653
100113,NY,4.7,72000,1620.0,144.0,118.0,654
100114,OH,4.4,56000,1290.0,93.0,80.0,884
100115,CA,4.9,75000,1670.0,151.0,112.0,403
