customer_id,loan_type,loan_amount,loan_term,interest_rate,loan_purpose,loan_to_value_ratio,origination_channel,loan_officer_id,marketing_campaign
100000,Personal Loan,11300,24,10.26,Debt Consolidation,0.0,Online,1066,T
100001,Credit Card,6800,0,17.74,Revolving Credit,0.0,Branch,1041,B
100002,Credit Card,3400,0,19.42,Revolving Credit,0.0,Online,1001,W
100003,Credit Card,12000,0,20.95,Revolving Credit,0.0,Online,1098,D
100004,Mortgage,279900,360,6.99,Refinance,0.798,Online,1067,H
100005,Credit Card,3200,0,16.87,Revolving Credit,0.0,Branch,1049,O
100006,Mortgage,384300,360,5.78,Home Purchase,0.864,Branch,997,D
100007,Home Loan,101500,360,7.25,Home Purchase,0.741,Online,1078,F
100008,Credit Card,3000,0,15.35,Revolving Credit,0.0,Broker,1000,D
100009,Home Loan,62400,360,5.12,Home Purchase,0.927,Branch,996,D
100010,Credit Card,10000,0,17.79,Revolving Credit,0.0,Branch,1017,O
100011,Credit Card,13200,0,17.64,Revolving Credit,0.0,Online,998,I
100012,Home Loan,266800,360,4.52,Home Purchase,0.816,Online,1002,E
100013,Mortgage,117000,180,4.55,Refinance,0.792,Online,1046,U
100014,Credit Card,5800,0,17.52,Revolving Credit,0.0,Broker,1074,A
100015,Personal Loan,18900,12,10.54,Debt Consolidation,0.0,Online,1086,T
100016,Credit Card,10600,0,16.53,Revolving Credit,0.0,Online,1042,S
100017,Personal Loan,17100,36,9.4,Other,0.0,Broker,999,L
100018,Mortgage,443700,360,8.25,Home Purchase,0.661,Branch,1081,E
100019,Home Loan,434500,360,5.66,Refinance,0.84,Online,1075,T
100020,Personal Loan,27200,24,13.09,Debt Consolidation,0.0,Broker,997,F
100021,Personal Loan,22500,36,14.58,Major Purchase,0.0,Online,1071,M
100022,Credit Card,7000,0,16.93,Revolving Credit,0.0,Broker,1048,A
100023,Mortgage,134500,360,6.84,Home Purchase,0.774,Online,1075,K
100024,Mortgage,113700,180,6.75,Home Purchase,0.683,Broker,1014,G
100025,Credit Card,2200,0,17.39,Revolving Credit,0.0,Broker,1099,W
100026,Personal Loan,22200,48,10.18,Major Purchase,0.0,Online,1070,G
100027,Personal Loan,10800,36,12.25,Debt Consolidation,0.0,Broker,1078,W
100028,Personal Loan,27300,36,10.78,Debt Consolidation,0.0,Broker,1088,Q
100029,Personal Loan,21900,36,12.34,Major Purchase,0.0,Online,1044,U
100030,Mortgage,522800,360,6.19,Refinance,0.85,Branch,1043,K
100031,Mortgage,385800,360,6.19,Refinance,0.851,Branch,1002,F
100032,Mortgage,250900,360,6.11,Refinance,0.909,Branch,1004,T
100033,Personal Loan,27100,48,15.23,Debt Consolidation,0.0,Branch,1005,F
100034,Personal Loan,20700,24,11.64,Major Purchase,0.0,Branch,1048,N
100035,Personal Loan,17300,36,10.43,Home Improvement,0.0,Online,1091,G
100036,Personal Loan,1300,48,11.13,Debt Consolidation,0.0,Broker,1005,G
100037,Personal Loan,21100,36,12.24,Other,0.0,Online,1079,U
100038,Credit Card,6900,0,16.73,Revolving Credit,0.0,Broker,1053,G
100039,Credit Card,16400,0,16.76,Revolving Credit,0.0,Branch,1079,Y
100040,Credit Card,11300,0,18.9,Revolving Credit,0.0,Online,1081,E
100041,Credit Card,1600,0,17.22,Revolving Credit,0.0,Online,1048,K
100042,Home Loan,323700,360,6.77,Home Purchase,0.781,Branch,1004,L
100043,Mortgage,210700,360,7.48,Home Purchase,0.691,Online,1041,B
100044,Personal Loan,17200,60,12.74,Home Improvement,0.0,Broker,1045,U
100045,Mortgage,268600,360,4.88,Refinance,0.778,Online,1058,K
100046,Personal Loan,12300,24,10.86,Home Improvement,0.0,Broker,1045,N
100047,Mortgage,206900,360,6.61,Refinance,0.887,Online,997,K
100048,Credit Card,3300,0,17.06,Revolving Credit,0.0,Branch,1080,I
100049,Personal Loan,27900,36,9.56,Major Purchase,0.0,Broker,1069,G
100050,Personal Loan,9700,36,12.81,Debt Consolidation,0.0,Online,1075,G
100051,Credit Card,9800,0,16.71,Revolving Credit,0.0,Online,1014,N
100052,Home Loan,392900,180,9.03,Refinance,0.869,Branch,1050,H
100053,Personal Loan,21700,36,12.77,Home Improvement,0.0,Online,1041,M
100054,Home Loan,64100,360,6.02,Refinance,0.921,Online,1057,N
100055,Mortgage,300600,360,4.96,Home Purchase,0.849,Online,1042,Q
100056,Personal Loan,8500,60,9.25,Debt Consolidation,0.0,Online,1004,T
100057,Personal Loan,15900,48,13.52,Debt Consolidation,0.0,Broker,1052,L
100058,Home Loan,270700,360,5.76,Home Purchase,0.752,Online,1054,E
100059,Personal Loan,13300,36,12.67,Debt Consolidation,0.0,Online,1005,C
100060,Personal Loan,31400,60,13.36,Major Purchase,0.0,Online,1013,R
100061,Mortgage,266400,360,4.98,Home Purchase,0.618,Online,999,N
100062,Home Loan,365500,360,4.98,Home Purchase,0.767,Online,1015,V
100063,Personal Loan,17800,36,12.11,Major Purchase,0.0,Direct Mail,1047,F
100064,Personal Loan,12800,48,10.6,Major Purchase,0.0,Broker,1005,T
100065,Personal Loan,4600,12,11.9,Major Purchase,0.0,Online,1004,Q
100066,Mortgage,180400,360,5.83,Home Purchase,0.858,Broker,998,D
